name,has_test,address,created_at,insider_interview,alternate_url,employer,schedule,accept_temporary,professional_roles,experience,employment,salary_from,salary_to,requirement,responsibility
Разработчик баз данных,False,Москва,2024-06-19 19:29,null,https://hh.ru/vacancy/102305313,"МАГНИТ, Розничная сеть","{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,"Опыт разработки на PostgreSQL от 3-х лет, желательно разработка на ClickHouse. Опыт выявления проблем производительности функциональности БД и оптимизации...","Разработка/поддержка БД-части PostgreSQL, ClickHouse для web-системы. Развитие архитектуры для работы с большими объемами данных. Взаимодействие с командой..."
Аналитик данных,False,Москва,2024-07-04 19:57,null,https://hh.ru/vacancy/103316160,РСХБ-Интех,"{'id': 'fullDay', 'name': 'Полный день'}",False,"BI-аналитик, аналитик данных",От 1 года до 3 лет,Полная занятость,null,null,Знание Informatica Power Center или других <highlighttext>ETL</highlighttext>/ELT средств. Опыт <highlighttext>разработки</highlighttext> документации (BRD/FSD) по отчетности на хранилище данных. ,"Подготовка технического задания для <highlighttext>ETL</highlighttext>-<highlighttext>разработчика</highlighttext>. Подготовка карт отображения ""источник-приемник"", описание взаимодействия информационных систем, участие в проектировании модели данных. "
Инженер данных,False,Пермь,2024-07-02 07:57,null,https://hh.ru/vacancy/103099170,НВ-АСУпроект,"{'id': 'fullDay', 'name': 'Полный день'}",False,"BI-аналитик, аналитик данных",От 1 года до 3 лет,Полная занятость,null,null,"Высшее техническое IT-образование. Рассмотрим вариант неоконченного Высшего образования. Знания по СУБД Postgres/Oracle/SAP Hana, использующейся для реализации корпоративного...",Разработка и техническое сопровождение приложений на PL\SQL. Обеспечение работоспособности и производительности БД системы. Разработка и поддержка механизмов интеграции между...
ETL-разработчик,False,Москва,2024-07-08 13:29,null,https://hh.ru/vacancy/103503305,М.Видео-Эльдорадо,"{'id': 'fullDay', 'name': 'Полный день'}",False,"BI-аналитик, аналитик данных",От 3 до 6 лет,Полная занятость,null,null,"Опыт работы в качестве разработчика на промышленной СУБД (Oracle, MS SQL, Postgres). Знание SQL на высоком уровне. Опыт оптимизации SQL...","Проектирование, разработка объектов аналитического хранилища данных (АХД) на базе СУБД Greenplum, Clickhouse. Проектирование, разработка потоков загрузки данных в АХД с..."
ETL разработчик,False,null,2024-07-09 13:12,null,https://hh.ru/vacancy/103587295,Т1,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,Разрабатывать типовые потоки в IPC и IDQ. Какие знания и навыки для нас важны: Опыт работы разработчиком на проектах формирования...,Создавать Python скрипты для загрузки данных. Сопровождать и развивать БД ArenaData DB. Мониторить корректность сборки витрин данных. Настраивать натификации из...
Data Analyst,False,null,2024-06-24 11:48,null,https://hh.ru/vacancy/100496608,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Разбираешься в Excel. Умеешь разрабатывать <highlighttext>ETL</highlighttext>-процессы. Имеешь опыт <highlighttext>разработки</highlighttext> на Java. Имеешь опыт работы с Jira, Git,Confluence, Wiki. ",Разрабатывать процессы поставки данных. Разрабатывать python+sql скрипты для выгрузки и обработки данных для построения витрин. Анализировать действующие скрипты sql+python на...
Архитектор платформы данных,False,null,2024-06-13 12:59,null,https://hh.ru/vacancy/98922297,Т1,"{'id': 'fullDay', 'name': 'Полный день'}",False,Архитектор,От 3 до 6 лет,Полная занятость,null,null,"Опыт работы с инструментами и подходами бизнес-аналитики, reporting & dashboarding. - Опыт разработки <highlighttext>ETL</highlighttext>, ELT. - Опыт <highlighttext>разработки</highlighttext> методов и процедур для...",Курирование процессов миграции продуктовых система со стороны хранилища данных. - Разработка функциональной архитектуры корпоративного хранилища данных. - Участие в разработке архитектуры миграций. - 
Аналитик,False,Санкт-Петербург,2024-07-04 11:00,null,https://hh.ru/vacancy/103276522,СПБ ГБУ ИМЦ,"{'id': 'fullDay', 'name': 'Полный день'}",False,Аналитик,От 1 года до 3 лет,Полная занятость,70000,,"Знание реляционной модели данных. Опыт работы с СУБД (Oracle, MySQL или PostgreSQL). Английский язык на уровне чтения технической документации. ","Разработка и доработка существующих <highlighttext>ETL</highlighttext>-процессов (Pentaho Data Integration). <highlighttext>Разработка</highlighttext> и доработка существующих отчетов автоматизированной информационной системы (Eclipse Birt, SQL). "
Разработчик C# + SQL,False,Москва,2024-06-27 13:41,null,https://hh.ru/vacancy/102851554,Астра Управление Активами,"{'id': 'fullDay', 'name': 'Полный день'}",False,Руководитель группы разработки,От 3 до 6 лет,Полная занятость,null,null,"знание Microsoft .Net, языка программирования C#. ∙ Опыт работы с MS SQL Server, знание T-SQL. ∙ Опыт работы с Git, понимание...","Оптимизация сервисов интеграции с внутренними системами (<highlighttext>ETL</highlighttext> T-SQL). ∙ Участие в <highlighttext>разработке</highlighttext> web-сервисов (личный кабинет, web-версия собственного ПО..."
Data Engineer / ETL Developer,False,null,2024-07-10 16:20,null,https://hh.ru/vacancy/103667128,Axenix (ранее Accenture),"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Опыт работы на позиции Data Engineer. Хорошее знание SQL. Опыт разработки хранилищ данных, построения витрин данных. Опыт работы с одной...","Разработка хранилищ данных, витрин данных. Проектирование, разработка и поддержка ETL-процессов. Контроль качества загружаемых данных (ручные и автоматические тесты). "
