name,has_test,address,created_at,insider_interview,alternate_url,employer,schedule,accept_temporary,professional_roles,experience,employment,salary_from,salary_to,requirement,responsibility
Data Scientist,False,null,2024-06-20 15:29,null,https://hh.ru/vacancy/102367569,Data-Driven Lab,"{'id': 'remote', 'name': 'Удаленная работа'}",False,Дата-сайентист,От 1 года до 3 лет,Полная занятость,null,null,"Опыт работы на позиции ML <highlighttext>инженера</highlighttext>/<highlighttext>Data</highlighttext> Scientist’a от 2х лет. Опыт программирования на Python, в том числе...",Построение и внедрение ML-моделей совместно с командой маркетинга для оптимизации затрат на рекламные кампании. Поиск точек роста ключевых бизнес...
Data quality analyst,False,null,2024-07-10 12:13,null,https://hh.ru/vacancy/101647011,Диплей,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"BI-аналитик, аналитик данных",От 1 года до 3 лет,Полная занятость,null,null,Умение формализовывать и структурировать задачи. Знание SQL для работы с данными и выполнения запросов. Опыт взаимодействия и коммуникации с бизнес...,"Сбор, обработка и консолидация требований к качеству данных. Взаимодействие с бизнес пользователями для сбора требований к качеству данных. "
Python-разработчик в команду LLM,False,null,2024-07-09 07:15,null,https://hh.ru/vacancy/100837024,2ГИС,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Опыт разработки / <highlighttext>data</highlighttext> science от 2-х лет. Знания об основных подходах: техники промптинга, RAG-системы, AI-агенты. ","Разрабатывать сервисы вокруг LLM, промпт <highlighttext>инженерить</highlighttext>. Анализировать качество генеративных моделей и искать способы его улучшения. Активно следить за open source..."
Data science инженер,False,Екатеринбург,2024-07-08 13:53,null,https://hh.ru/vacancy/103506109,Сима-ленд,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,200000,300000,"Математика (линейная алгебра, дифференциальное исчисление, тервер и статистика). Классические алгоритмы машинного обучения (деревья решений, линейная регрессия, логистическая регрессия, метод опорных...","Поддержка существующих проектов (товарные рекомендации, поиск по картинке, улучшение поисковой системы). Расширение возможностей существующих проектов. Разработка новых систем (прогнозирование оттока..."
Junior Data Engineer/Analyst,False,null,2024-07-02 22:50,null,https://hh.ru/vacancy/103169852,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,Аналитик,От 3 до 6 лет,Полная занятость,null,null,"Умеешь анализировать данные, работать с большим количеством источников данных. Самостоятелен: гуглишь, думаешь, пробуешь решить проблему, спрашиваешь, решаешь. Готов быстро осваивать...","Проводить анализ источников данных в Hadoop, GreenPlum для реализации задач. Формировать запросы для создания персональных предложений. Управлять и поддерживать формирование..."
Дата-инженер,False,null,2024-07-08 15:31,"{'id': '32978', 'url': 'https://hh.ru/interview/32978?employerId=78638'}",https://hh.ru/vacancy/103517126,Т-Банк,"{'id': 'flexible', 'name': 'Гибкий график'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Опыт работы с базами данных в качестве аналитика/разработчика от 2 лет. Опыт участия в проектах по созданию и развитию...,Участие в проектах по развитию DWH. Писать скрипты SQL и Python (опционально). Прорабатывать интеграции с внешними системами для <highlighttext>Data</highlighttext> Platform.
Data engineer,False,Москва,2024-06-27 17:32,null,https://hh.ru/vacancy/92775857,Ippon Technologies.,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,"Знания принципов работы БД, построения ХД. Опыт разработки ETL процессов. Знание Python и SQL. Опыт работы/знакомство с такими технологиями...","Сбор и организация процесса загрузки данных в аналитические системы из различных источников. Подготовка, очистка и предобработка данных из внешних источников..."
Менеджер по работе с партнерами,False,Москва,2024-07-07 16:36,null,https://hh.ru/vacancy/97432032,КРОК,"{'id': 'fullDay', 'name': 'Полный день'}",False,Менеджер по работе с партнерами,От 1 года до 3 лет,Полная занятость,null,null,"Высшее образование (техническое, экономика, маркетинг). Коммуникабельность, внимательность к деталям, системность, умение работать в режиме многозадачности, ответственность, проактивность.","...КРОК и вендора, а также между другими ролями (маркетинг, пресейлы, <highlighttext>инженеры</highlighttext>, финансы и др.). Эффективное применение партнёрских программ: регистрация сделок..."
Инженер-разработчик,False,null,2024-07-11 13:59,null,https://hh.ru/vacancy/103714501,Интелион Майн,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,150000,,"Разворачивание и администрирование ОС (операционных систем) GNU/Linux Ubuntu, CentOS based. Конфигурирование ОС (сеть, хранилище). Навыки работы с интерпретатором bash. ","Разворачивание и поддержка облачных сервисов Openstack. Интеграция облачных сервисов с подсистемами сетей, хранилищ, виртуализации, управления. Подготовка облачных образов и шаблонов..."
Data Center Engineer,False,null,2024-06-16 22:37,"{'id': '32978', 'url': 'https://hh.ru/interview/32978?employerId=78638'}",https://hh.ru/vacancy/97264640,Т-Банк,"{'id': 'fullDay', 'name': 'Полный день'}",False,Сетевой инженер,От 3 до 6 лет,Полная занятость,null,null,"Знания аппаратного устройства серверов и опыт замены комплектующих, умение диагностировать неполадки оборудования. Опыт работы с Firmware серверного оборудования;-. ","Работы по модульной замене компонентов серверного оборудования. Прокладка СКС, в том числе ВОЛС в пределах ЦОД. Настройка IPMI серверного оборудования. "
Process Safety Engineer,False,Санкт-Петербург,2024-07-11 11:53,null,https://hh.ru/vacancy/103700583,Нова Энерджис,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Инженер-конструктор, инженер-проектировщик",От 3 до 6 лет,Полная занятость,null,null,"University degree, minimum Bachelor of Science. Minimum 3 years of experience of: Physical Effects Modelling and Quantitative Risk Assessment. ",Hydraulic calculation fire water demand calculation and nozzel arrangment. Preparation of specifications& <highlighttext>data</highlighttext> sheets. Preparation of MR. Vendor documents & technical...
Системный инженер / системный администратор,False,Екатеринбург,2024-07-08 08:58,null,https://hh.ru/vacancy/100775810,SpectrumData,"{'id': 'fullDay', 'name': 'Полный день'}",False,Системный инженер,От 1 года до 3 лет,Полная занятость,130000,230000,"Опыт системного администрирования ОС семейства Linux от 5 лет. Понимание принципов работы ЛВС (ISO OSI, Ethernet, TCP/IP, базовые сетевые...","Решать эксплуатационные задачи на всём стеке нашей производственной ИТ-инфраструктуры, построенной на Bare Metal – от монтажа “железа” до деплоев в..."
Data-инженер,False,Санкт-Петербург,2024-07-05 18:32,"{'id': '32978', 'url': 'https://hh.ru/interview/32978?employerId=78638'}",https://hh.ru/vacancy/103383932,Т-Банк,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Знание одного из языков программирования: Python, Java, Go. Знание основ ООП, теории алгоритмов, структур данных. Знание SQL. Опыт написания процессов...",Участие в разработке ядра продуктов <highlighttext>Data</highlighttext> Platform. Разработка и оптимизация процессов выгрузки данных.
Инженер данных (Data Engineer),True,null,2024-07-09 17:39,null,https://hh.ru/vacancy/103610777,РБК,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"BI-аналитик, аналитик данных",От 3 до 6 лет,Полная занятость,,350000,"Навыки работы с ETL инструментами (как минимум один): Apache NiFi, Pentaho, Talend, Azure <highlighttext>Data</highlighttext> Flow. Опыт высоконагруженных проектов/крупных систем...","Рост до Solution Architect со специализацией (на выбор: Big <highlighttext>Data</highlighttext> или ML), возможность обучаться на практических прикладных кейсах (рекомендательная система..."
Data Scientist,False,null,2024-07-10 21:35,null,https://hh.ru/vacancy/103676625,"Алабуга, ОЭЗ ППТ","{'id': 'fullDay', 'name': 'Полный день'}",False,Дата-сайентист,От 1 года до 3 лет,Полная занятость,160000,320000,Высшее техническое образование. От года опыта работы по специальности. Знания и опыт работы с алгоритмами классического машинного обучения. ,Разработка с нуля пайплайнов машинного обучения. Взаимодействие с <highlighttext>инженерами</highlighttext>-разработчиками для развертывания моделей в производственной среде компании. Взаимодействие с бизнес...
"Инженер поддержки ERP и информационно-справочных систем / Поддержка SAP BW, Cosmos и Аллокации 2.0",True,null,2024-06-17 08:41,null,https://hh.ru/vacancy/102058571,Т1,"{'id': 'remote', 'name': 'Удаленная работа'}",False,Специалист технической поддержки,От 1 года до 3 лет,Полная занятость,null,null,"Знать желательно : Работа с MPP СУБД, в первую очередь Greenplum (Arena <highlighttext>Data</highlighttext>), понимание функционирования MPP СУБД - шардирование, кластерность. - ","Сопровождение системы отчётности на базе SAP BW4HANA по направлению HR, ERP, Аллокация, в следующем объёме: BW4HANA..."
"Data Engineer, Логистика, Операционная аналитика",False,null,2024-06-19 14:46,null,https://hh.ru/vacancy/102284125,Ozon,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,"Отличное знание SQL. Знание Python. Опыт в оптимизации производительности запросов и ETL процессов. Уверенный технический бэкграунд (вы представляете себе, что...",Проектировать архитектуру модели данных для realtime хранилища. Создавать realtime отчетность для сортировочных центров. Настраивать интеграцию данных. Придумывать архитектуры для решения...
Technical Project Manager,False,null,2024-07-02 22:57,null,https://hh.ru/vacancy/103170002,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,Руководитель проектов,От 1 года до 3 лет,Полная занятость,null,null,"Что точно хотим видеть в тебе: Опыт управления проектами в области разработки ПО, IT-проектов или AI-проектов от 2...","...координировать работу команды из специалистов разного профиля (NLP-<highlighttext>Engineer</highlighttext>, <highlighttext>Data</highlighttext> Scientist, ML-<highlighttext>Engineer</highlighttext>, разработчики, аналитики). Участвовать в декомпозиции и приоритизации..."
Senior NLP Data Scientist на проект ChatGPT (гибрид),False,null,2024-06-19 21:04,null,https://hh.ru/vacancy/102307842,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,Дата-сайентист,От 1 года до 3 лет,Полная занятость,null,null,1. Опыт работы на позиции DS NLP / NLP Researcher / DS Researcher от 1 года. 2. Опыт применения современных DL-подходов...,3. Взаимодействие с <highlighttext>инженерами</highlighttext>-разработчиками для развертывания моделей в производственной среде компании. Взаимодействие с бизнес-заказчиками для уточнения деталей и...
Network Engineer,False,null,2024-07-10 11:11,null,https://hh.ru/vacancy/103033203,Servers.com,"{'id': 'fullDay', 'name': 'Полный день'}",False,Сетевой инженер,От 1 года до 3 лет,Полная занятость,null,null,"Proficiency in LAN/WAN principles. Strong understanding of dynamic network protocols (BGP/OSPF). Understanding L2-networking: VLANs, xSTP family...",Providing network equipment administration at multiple <highlighttext>data</highlighttext> centers. Performing the routine and emergency maintenance works on network equipment. 
Middle + Data Engineer,False,null,2024-07-10 11:18,null,https://hh.ru/vacancy/103033960,Appie.tech,"{'id': 'remote', 'name': 'Удаленная работа'}",False,Другое,От 1 года до 3 лет,Полная занятость,200000,350000,"Уверенное владение SQL: сложные запросы, оптимизация кода. Желательно PGSQL. Middle в любом языке программирования. Желательно Python. Знание оркестратора, создание пакетов...",Разрабатывать архитектуру DWH и интеграционных решений. Профилировать данные и проектировать модели данных. Разрабатывать процедуры загрузки и преобразования данных. 
Junior Data Engineer,True,Санкт-Петербург,2024-07-10 13:39,null,https://hh.ru/vacancy/103291612,Lesta Games,"{'id': 'fullDay', 'name': 'Полный день'}",False,"BI-аналитик, аналитик данных",От 1 года до 3 лет,Полная занятость,null,null,Опыт работы <highlighttext>инженером</highlighttext> по работе с данными\BI-аналитиком\аналитиком данных от 1 года. Уверенное владение SQL. Знание языка Python. ,"Создание и поддержка ETL процессов (SQL, Python, bash, Spark). Оркестрирование процессов через Jenkins, Airflow. Создание и поддержка вспомогательных сервисов. "
Data Scientist,False,null,2024-07-10 21:35,null,https://hh.ru/vacancy/103676627,"Алабуга, ОЭЗ ППТ","{'id': 'fullDay', 'name': 'Полный день'}",False,Дата-сайентист,От 1 года до 3 лет,Полная занятость,160000,320000,Высшее техническое образование. От года опыта работы по специальности. Знания и опыт работы с алгоритмами классического машинного обучения. ,Разработка с нуля пайплайнов машинного обучения. Взаимодействие с <highlighttext>инженерами</highlighttext>-разработчиками для развертывания моделей в производственной среде компании. Взаимодействие с бизнес...
Data Scientist / Machine Learning Engineer,False,Москва,2024-07-08 15:59,null,https://hh.ru/vacancy/103520211,Redcat,"{'id': 'fullDay', 'name': 'Полный день'}",False,Дата-сайентист,От 3 до 6 лет,Полная занятость,null,null,Опыт работы в области <highlighttext>Data</highlighttext> Science и машинного обучения от 3 лет. Глубокие знания Python и библиотек для анализа данных...,Разработка и внедрение рекомендательных систем для платформы. Анализ больших объемов данных для выявления закономерностей и создания предиктивных моделей. 
"Data Engineer (ClickHouse, Qlik Sense)",False,null,2024-06-17 12:55,null,https://hh.ru/vacancy/102095484,Синимекс,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Понимание принципов построения корпоративных хранилищ данных. Опыт работы с ClickHouse от 1 года. Опыт визуализации данных. Опыт работы с оркестраторами. ,Работа с исходными витринами. Создание витрин для построения отчетов. Построение набора витрин в ClickHouse для последующей визуализации. Визуализация полученных результатов...
Главный инженер по эксплуатации,False,Новосибирск,2024-07-10 14:09,null,https://hh.ru/vacancy/103294288,ABC Data Center,"{'id': 'fullDay', 'name': 'Полный день'}",False,Инженер по эксплуатации,От 1 года до 3 лет,Полная занятость,90000,110000,"Высшее техническое (желательно энергетика, системы связи, эксплуатация систем связи). Опыт работы главным <highlighttext>инженером</highlighttext> по направлению построения систем связи. ","Организация работ по эксплуатации систем жизнеобеспечения дата-центра, таких как система ДГУ, система кондиционирования, система пожаротушения, система предупреждения о пожаре..."
C++ Developer [Middle],False,null,2024-07-03 07:16,null,https://hh.ru/vacancy/101189952,Диплей,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,Уверенное знание С++. Твердые знания принципов ООП. Понимание принципов обработки потоков событий. Опыт работы с системами контроля версий (мы используем...,"Разработка и обслуживание кода. Тестирование, отладка, проведение релизов. Составление документации. Открыто делимся информацией о развитии компании: регулярно проводим интервью и..."
Инженер данных,False,Москва,2024-06-18 13:30,null,https://hh.ru/vacancy/102189502,MODIS,"{'id': 'fullDay', 'name': 'Полный день'}",False,"BI-аналитик, аналитик данных",От 1 года до 3 лет,Полная занятость,null,null,Высшее образование. Релевантный опыт работы от 2х лет. Опыт работы с Hadoop или другими системами обработки больших данных будет...,"Построение цепочек данных, интеграция данных (хранение и нормализация данных). Анализ требований и определение оптимальных решений для достижения поставленных задач. "
Middle Data Analyst [B2B Marketplace],False,null,2024-06-25 09:09,null,https://hh.ru/vacancy/102452917,МТС,"{'id': 'flexible', 'name': 'Гибкий график'}",False,"BI-аналитик, аналитик данных",От 3 до 6 лет,Полная занятость,null,null,"Опыт использования инструментов визуализации данных (superset, power bi, Tableau, Google <highlighttext>Data</highlighttext> Studio), не обязательно все, а что-то из перечисленного. ","Участвовать в построении правильной архитектуры данных маркетплейса с учетом потребностей в <highlighttext>data</highlighttext> science (стриминг, обогащение данных и др.). "
Middle Data Engineer (ML),False,null,2024-07-10 11:27,null,https://hh.ru/vacancy/103639876,BestDoctor,"{'id': 'fullDay', 'name': 'Полный день'}",False,Дата-сайентист,От 1 года до 3 лет,Полная занятость,null,null,"Опыт написания и отладки ETL-процессов с использованием Python. Опыт работы с <highlighttext>data</highlighttext> стеком (pandas, numpy, sqlalchemy). Опыт написания SQL...","Разрабатывать, проводить ревью и тестирование ETL-скриптов. Обеспечивать стабильную работу ML-моделей в production, писать API ML-моделей. "
Дата инженер / Data Engineer (Сбережения),False,null,2024-07-04 12:08,null,https://hh.ru/vacancy/103283039,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,Аналитик,От 1 года до 3 лет,Полная занятость,null,null,"Опыт работы в качестве <highlighttext>Data</highlighttext> <highlighttext>Engineer</highlighttext> / <highlighttext>Data</highlighttext> Analyst / ETL Developer. Знание SQL на продвинутом уровне (аналитические функции, подзапросы, хранимые процедуры...",Проектирование и разработка аналитических витрин данных для целей отчетности на стеке технологий Hadoop + Spark. Мониторинг и оптимизация процессов сборки...
Старший сетевой инженер,False,null,2024-07-08 15:34,null,https://hh.ru/vacancy/103517541,ВсеИнструменты.ру,"{'id': 'fullDay', 'name': 'Полный день'}",False,Сетевой инженер,От 3 до 6 лет,Полная занятость,null,null,L2-Switching. L3-Routing. RA-VPN. L3-Firewall. L7-Firewall. IDS\IPS. 802.1x. ,Обеспечивать бесперебойное функционирование сетевой ИТ-инфраструктуры. Преобразовывать процессы и конфигурации. Проводить RFC. НИОКРы. Имитировать аварии. Участвовать в решение инцидентов. 
Инженер по нагрузочному тестированию,False,Москва,2024-07-02 15:11,null,https://hh.ru/vacancy/96386490,Подели,"{'id': 'fullDay', 'name': 'Полный день'}",False,Тестировщик,От 1 года до 3 лет,Полная занятость,null,null,Знание методологий и практик нагрузочного тестирования. Опыт нагрузочного тестирования систем на базе микросервисной архитектуры. Опыт проведения полного цикла нагрузочного тестирования...,Поддержка и развитие нагрузочного тестирования (микросервисная архитектура). Разработка/отладка скриптов нагрузочного тестирования. Подготовка тестовых данных. Разработка заглушек/эмуляторов. 
Менеджер IT проектов,False,null,2024-06-28 11:19,null,https://hh.ru/vacancy/100588391,True Engineering,"{'id': 'flexible', 'name': 'Гибкий график'}",False,Руководитель проектов,Нет опыта,Полная занятость,null,null,"Оконченное высшее техническое образование. Понимание основных методологий управления проектами и жизненного цикла разработки. Желание разбираться в сути задачи, погружаться в...",Помогать в создании и развитии продукта. Поддерживать процессы в команде. Помогать готовить проектную документацию. Участвовать в планировании разработки. 
Руководитель направления по управлению данными \ Data Management Head,False,null,2024-07-11 11:20,null,https://hh.ru/vacancy/101954388,Марс,"{'id': 'fullDay', 'name': 'Полный день'}",False,Другое,Более 6 лет,Полная занятость,null,null,Знание DMBoK/существующих методологий и подходов в области <highlighttext>Data</highlighttext> Governance. Навыки решения проблем с фокусом на разработку продукта. ,Руководить стратегическим видением и лидировать центр компетенций практики разработки (<highlighttext>Data</highlighttext> <highlighttext>Engineering</highlighttext> и BI). Быть ответственным за процесс поддержки дата продуктов...
NLP Engineer/NLP Data Scientist,False,Санкт-Петербург,2024-06-26 10:34,null,https://hh.ru/vacancy/102751440,ТехЛАБ,"{'id': 'fullDay', 'name': 'Полный день'}",False,Другое,От 1 года до 3 лет,Полная занятость,null,null,"Хорошие знания Python и умение писать понятный, качественный, чистый код. Опыт работы над NLP-задачами от двух лет. ","Анализ и обработка больших объемов неструктурированных или слабоструктурированных медицинских текстовых данных. Разработка и реализация алгоритмов для классификации, кластеризации и извлечения..."
IT Researcher/ IT Sourcer,True,null,2024-07-09 08:35,null,https://hh.ru/vacancy/103555175,"МАГНИТ, Розничная сеть","{'id': 'remote', 'name': 'Удаленная работа'}",False,Специалист по подбору персонала,Нет опыта,Полная занятость,null,null,Самостоятельно определять стратегию поиска - Мы за гибкий и творческий подход. ﻿﻿Понимаешь специфику IT подбора и имеешь небольшой базовый опыт. ﻿﻿,"Вести активный поиск IT-специалистов в Linkedin, Хабр, АН, Подбор, GitHub и др. Проводить HR скрининги и взаимодействовать с нанимающими..."
LNG Liquefaction Process Specialist (South Korea),False,null,2024-06-28 03:43,null,https://hh.ru/vacancy/102887924,"DL E&C Co., LTD","{'id': 'fullDay', 'name': 'Полный день'}",False,Другое,Более 6 лет,Полная занятость,null,null,Bachelor’s Degree in Chemical <highlighttext>Engineering</highlighttext>. English required (Read/Write/Speak). More than 8 years of project experience in process...,"Process Design. Process Optimization. Health, Safety, and Environmental (HSE) Compliance. Commissioning and Start-up. Process Troubleshooting."
Data engineer (ETL-разработчик)_У,False,null,2024-06-14 11:52,null,https://hh.ru/vacancy/101924597,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,Аналитик,От 1 года до 3 лет,Полная занятость,null,null,Знание моделей и структур проектирования баз данных. Уверенное владение SQL. Базовые знания Python. Понимание процессов загрузки и обработки данных (ETL...,Создание и оптимизация пайплайнов для сбора и обработки данных. Контроль качества и актуальности данных в DWH. Автоматизация построения витрин данных. 
Chief data officer,False,Москва,2024-06-21 17:14,null,https://hh.ru/vacancy/102451428,СберЗдоровье,"{'id': 'fullDay', 'name': 'Полный день'}",False,Руководитель отдела аналитики,Более 6 лет,Полная занятость,null,null,"Опыт разработки и внедрения процессов Управления Данными (<highlighttext>Data</highlighttext> Governance) . Опыт участия в проектах по внедрению аналитических систем, DWH, <highlighttext>Data</highlighttext> lake...","Управлять командой, состоящей из <highlighttext>Data</highlighttext> <highlighttext>engineers</highlighttext> (platform), <highlighttext>data</highlighttext> analysts, <highlighttext>data</highlighttext> scientists, product analysts. Сформировать стратегию, roadmap и бюджет направления <highlighttext>Data</highlighttext>. "
"Data-инженер (внедрение, интеграция)",False,null,2024-06-26 12:42,null,https://hh.ru/vacancy/102766462,SL Soft,"{'id': 'fullDay', 'name': 'Полный день'}",False,Системный инженер,От 3 до 6 лет,Полная занятость,null,null,Опыт участия в проектах внедрения BI-решений. Знание и опыт разработки интеграционных интерфейсов. Опыт работы с Oracle/MSSQL/PostgreSQL/MySQL...,Участвовать в проектах по внедрению продуктов Polymatica (EPM/ML/BI/Dashboard). Участвовать в подготовке коммерческих предложений по внедрению бизнес-решений. 
Data Engineer,False,null,2024-06-17 14:19,null,https://hh.ru/vacancy/102105961,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,Аналитик,От 3 до 6 лет,Полная занятость,null,null,"Понимание работы Hive, Spark на Hadoop. Знания языков программирования Python. Знание SQL на уровне аналитических запросов. Понимание объектно-ориентированного подхода...","Исследование источников данных (внешних данных, реплик АС Банка, других витрин). Разработка и изменение витрин данных на Hadoop/GreenPlum исходя из..."
Инженер данных,False,Пермь,2024-07-02 07:57,null,https://hh.ru/vacancy/103099170,НВ-АСУпроект,"{'id': 'fullDay', 'name': 'Полный день'}",False,"BI-аналитик, аналитик данных",От 1 года до 3 лет,Полная занятость,null,null,"Высшее техническое IT-образование. Рассмотрим вариант неоконченного Высшего образования. Знания по СУБД Postgres/Oracle/SAP Hana, использующейся для реализации корпоративного...",Разработка и техническое сопровождение приложений на PL\SQL. Обеспечение работоспособности и производительности БД системы. Разработка и поддержка механизмов интеграции между...
Биоинформатик / Data-Engineer (Middle / Senior),False,Москва,2024-07-11 15:13,null,https://hh.ru/vacancy/102365736,Онкодиагностика Атлас,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Научный специалист, исследователь",От 1 года до 3 лет,Полная занятость,null,null,Опыт с ML. Понимание работы систем распределенных вычислений/ Big <highlighttext>Data</highlighttext>. Опыт работы с GPU. Опыт работы с данными NGS (DNA...,"Обеспечение потокового анализа данных в соответствии с СОП с использованием существующих пайплайнов, участие в доработке СОП, написании документации и инструкций..."
Data engineer (Big Data Office),False,null,2024-07-08 18:16,null,https://hh.ru/vacancy/103533095,Tele2,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Опыт работы с Hadoop, Kafka как плюс. Знание принципов feature <highlighttext>engineering</highlighttext> в машинном обучении. Знание статистики на уровне основных описательных...","Поддерживать кросс-функциональное взаимодействие с архитектором структур данных для анализа новых источников, прототипов, витрин, фичей и <highlighttext>Data</highlighttext> Quality."
Data Engineer направления разработки витрин данных,False,null,2024-07-10 23:58,null,https://hh.ru/vacancy/103677872,Т1,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Знание SQL. Хорошее знание устройства Hadoop,Spark,Hive/Impala. Опыт разработки на Python/Scala/Java. Понимание основных концепций DWH. ","...обработкой данных из различных источников. Заниматься поддержкой и развитием базы знаний. Предоставлять экспертную поддержку внутренним потребителям(<highlighttext>data</highlighttext> analysts,<highlighttext>data</highlighttext> scientists)."
Data Engineer в блок Статегии,False,null,2024-07-02 22:54,null,https://hh.ru/vacancy/103169863,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,Дата-сайентист,От 1 года до 3 лет,Полная занятость,null,null,"Продвинутый уровень работы с Python для анализа больших объемов данных (pandas, numpy, regexp, SQLAlchemy/psycopg). Знание SQL на продвинутом уровне...","Проектировать структуру хранилища данных. Участвовать в создании и развитии <highlighttext>data</highlighttext>-продуктов команды. Погружаться в данные прикладных бизнес-областей, развивать методологию."
Python-разработчик в команду LLM,False,null,2024-07-09 07:15,null,https://hh.ru/vacancy/100837026,2ГИС,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Опыт разработки / <highlighttext>data</highlighttext> science от 2-х лет. Знания об основных подходах: техники промптинга, RAG-системы, AI-агенты. ","Разрабатывать сервисы вокруг LLM, промпт <highlighttext>инженерить</highlighttext>. Анализировать качество генеративных моделей и искать способы его улучшения. Активно следить за open source..."
Дата-инженер,False,,2024-06-28 17:24,"{'id': '32903', 'url': 'https://hh.ru/interview/32903?employerId=895945'}",https://hh.ru/vacancy/102940197,Правительство Москвы,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,"Высшее техническое образование. Опыт работы с Hadoop (HDFS, Yarn), понимание структур данных (Parquet). Опыт разработки высокопроизводительных ETL-процессов на pySpark. ","...настройка процесса загрузки данных в <highlighttext>Data</highlighttext> Lake. Оптимизация текущих процессов обработки данных. Развитие платформы данных, в т.ч. <highlighttext>Data</highlighttext> Quality."
Data Engineer,False,Москва,2024-07-05 10:25,null,https://hh.ru/vacancy/103345192,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,Аналитик,От 1 года до 3 лет,Полная занятость,null,null,"Навыки программирования на Python, PySpark и SQL. Навыки работы с реляционными СУБД (PostgreSQL, Oracle, MS SQL). Навыки работы с Unix...","SberData – департамент по управлению данными Сбербанка. SberData строит централизованное хранилище данных, Корпоративная аналитическая платформа (КАП), объем которого уже превышает 160..."
Инженер по информационной безопасности,False,null,2024-07-10 17:37,null,https://hh.ru/vacancy/103671850,ВсеИнструменты.ру,"{'id': 'fullDay', 'name': 'Полный день'}",False,Специалист по информационной безопасности,От 1 года до 3 лет,Полная занятость,null,null,"Знание современных угроз и уязвимостей, основных векторов атак, способов их обнаружения и средств защиты на различных уровнях. Знание операционных систем...",Проведение аудитов выявления уязвимостей в информационных активах Компании. Осуществление работ по повышению осведомленности сотрудников компании по вопросам информационной безопасности и...
Менеджер Проектов/Исследователь данных в лабораторию нейронаук и поведения человека,False,null,2024-07-08 15:42,null,https://hh.ru/vacancy/103518479,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,Менеджер продукта,От 3 до 6 лет,Полная занятость,null,null,Опыт в исследовательской деятельностью в области анализа данных / качественными и количественными социологическими исследованиями. Опыт в <highlighttext>Data</highlighttext> Science на уровне управленца...,"Управление набором проектов в качестве senior project manager, связанных с искусственным интеллектом и анализом данных. Операционная поддержка команды – это роль..."
